id,prompt,ref_id,essay,length,essay_length,similarity
324,"Restoration of old buildings in main cities involves enormous government expenditure. 

It would be more beneficial to spend this money to build new houses and roads. To what extent do you agree or disagree?",324,"Live attenuated refers to a microorganism that is still alive but has underwent serial transmission in environments has been created via genetic modification.

In order to trigger an immunological response, live vaccinations must multiply. The principles governing the timing and spacing of live vaccines are influenced by the several conditions that can prevent replication.

Certain vaccinations (such the Jynneos Smallpox/Monkeypox vaccine) are referred to as ""live attenuated.""

3. A mother brings her 14 month old son in for his vaccinations. He receives a measles (rubeola) vaccine. The following day the mother calls back and says that the vaccine gave her son measles. He has a low grade fever (37.5 tympanic), a mild rash, the injection site is slightly erythematous and tender, and he is a little fussier than usual. What should the advanced practice nurse say to the mother? Include all pertinent parent/patient teaching.

Children can experience moderate side effects following immunizations, such as soreness at the injection site, a rash, or a fever. These common reactions will fade fast.

Apply  a cool, wet cloth to minimize redness, discomfort, and/or swelling at the injection site to treat moderate vaccination responses. 

Use a cool sponge to lower fever. 

Use painkillers other than aspirin.",207,1315,-0.08687634766101837
406,"Some people think that instead of preventing climate change, we need to find a way to live with it. To what extend do you agree or disagree?",406,"Jakarta, 19 January 2022

To: Respected Programme Director of National University of Ireland Galway

Dear Sir or Madam,

As my current work is focusing on improvement in the company that has already been running for years, for my future Master’s Degree program, I intend to focus studying on how to help Start-up companies or Small and Medium Enterprises, that have just run their businesses either with their owned capital or with investment from foreign countries, allocate their capital effectively and efficiently. I am strongly inspired by people around me who have just built their businesses but have to close their ventures due to financial problems, especially in this pandemic. Therefore, I am highly passionate to study finance more deeply because it has core importance in today’s most dynamic and emergent world. At the same time, I would like to take part in realizing one of the sustainable development goals of the United Nations about decent work and economic growth that aim to encourage the formalization and growth of Small and Medium Enterprises, including through access to financial services. I would like to start from my motherland, Indonesia, as one of the emerging market economies that has been received lots of investment. 

I choose the National University of Ireland Galway (NUI Galway) because it is accredited by the Association to Advance Collegiate Schools of Business (AACSB), the Association of Chartered Certified Accountants (ACCA) Exemption Accreditation, and affiliated with the Institute of Chartered Financial Analysts (CFA). Moreover, the core modules offered include ‘Advanced Corporate Finance’ that will strengthen my skills in applying a range of corporate finance tools and techniques to assist in making valuation, financial and strategic decisions under conditions of uncertainty, for instance in this pandemic situation. Upon gaining a Master’s Degree, I plan to work in the Ministry of Investment, to implement what I have learnt for economic growth in Indonesia.",140,2016,-0.0019151568412780762
549,"Money should be spent on creating new public buildings such as museums or town halls rather than renovating the existing ones.
To what extent do you agree or disagree?",549,"The Line graph gives us  information about radio and TV users percentage during every two hours in a day in 1992 from October to December in the United Kingdom. Above 4 years old people has chosen for this research. 

Overall, people who interact with the TV or radio were shown the lowest percentage during the midnight to morning while radio listeners were significantly high during the morning, and Television watchers illustrate the highest proportion at the night. 

The TV and radio followers were about below 5% during the time of midnight 12.00 to 6.00 in the morning while TV watchers show about 1% beyond comparing with the radio users.

Between the times period of 6.00 to 13.00 radio users drastically rose while TV watchers constantly low till the mid-time of the day. After 1.00 p.m. most of the Radio listeners slightly decline till it reached  about 5%. During this same period of time Television audience had risen drastically up to 45% till 9.00 p.m. and then it decrees at the midnight up to 15% users.",167,1021,-0.01888437010347843
552,Money should be spent on creating new public buildings such as museums or town halls rather than renovating the existing ones. To what extent do you agree or disagree?,552,"The chart illustrates the amount of unemployed graduates (men and women) from 2008 to 2009.

Overall, we can see that there were a lot more unemployed men than women in the period given. In general, there was more unemployment during the winter and autumn months, for both groups in October the most.

Firstly, the percentage of unemployed women were the same for April 2008, July 2008, April 2009, it was the lowest number. Secondly, the highest amount was in October 2008 and October 2009. As to men, as can be seen, the smallest number was in April 2008 and July 2008. Then, the greatest number of males who were out of work during the period was again in October both years.

Finally, despite the fact that they both have volatile structure, the amount of women was more stable than the amount of men and it differs approximately twice.",167,840,-0.015729479491710663
645,Consumers are faced with increasing numbers of advertisements from competing companies. To what extent do you think consumers are influenced by advertisements? What measures can be taken to protect them?,645,"Homework provided by teachers and lecturers is a vital factor in developing children's essential skills. However, most people hold the view that teachers should not give homework to children and while others believe that homework is a crucial factor that plays a huge role in children’s education. I agree with the latter view of the argument and the reasons for this will be elaborated on in the subsequent paragraphs will examples. 

To commence with, it is true that assessing homework for children daily will make children exhausted in education because today most teachers are putting a huge pressure on subject material taught in the school time period as a repercussion offsprings come home tired. Thus, providing extra assignments or thesis for children will lead to serious consequences of children not being able to socialize with family members or friends.  As an example, 35% of children refuse to go to school and learn, and they tend to drop out of school at an early age. Thus, youngsters should be given free time to relax their minds after school. 

On the other hand, I believe that juveniles should be given homework because today most schools are not teaching according to the given time period and some children are not paying attention in classrooms. As an example, if it is the school sports day many children from the classroom go for sports practice thus they neglect their subject materials. Teachers providing a number of homework materials for children will not only enhance their knowledge but will refresh their skills in what was taught in class. 

To conclude, although there are negative effects of providing children homework such as they do not have free time, but engaging youngsters in homework will allow them to enhance their skills in education and knowledge.",203,1799,-0.014460159465670586
1384,"Some people believe that studying at university or college is the best route to a successful career, while others believe that it is better to get a job straight after school. Discuss both views",1384,"1. What do you say to ask about the price of a fan/ belt/ shirt/ …?  - Answer:How much are these fans?/How much is this belt?  2. You want to know about the warranty of things you buy. What can you say?  - Answer: Do these items come with a warranty?   How long is the warranty on this phone?  3. You want to buy some duty-free items at the airport. What can you say?  - Answer: How do I buy duty-free items?  Excuse me, I'd like to buy some duty-free items from your catalog.  4. You are at a shop, you want to see some watches. What can you say?  - Answer: Could you show me a few of your latest watches?  5. What does a Salesclerk say when he/she wants to help the customer  - Answer: Can I help you with anything?  Are you looking for anything in particular?  Do you see anything you like?  6. What does a Shopper say when he/she wants to pay by credit card ?  - Answer: Do you accept credit cards?  Is there an extra charge for using a credit card?",194,953,-0.04594358056783676
1385,"Some people believe that studying at university or college is the best route to a successful career, while others believe that it is better to get a job straight after school. Discuss both views",1385,"1. What does a front desk clerk say when he/she wants to know what happened to a guest?  Key:  Informal:  - What's wrong?  - What's going on?  - Is something wrong?  - What's the matter with ...?  Formal  What happened to ...?   What seems to be the problem /matter?   May 1 ask what the problem is?  2. What do you say when you want to know about the hotel facilities?  Key:  (We’ve just arrived at the hotel) Can you tell us about the hotel facilities?  3. What do you say to introduce your hotel facilities?  - Our business suite is state-of-the-art.  - The shuttle bus to the high-speed rail runs every 30 minutes.  - The tennis courts open at 6:00 a.m.  - Our conference room seats 40 people.  - The hotel offers a variety of boutiques  - We have a 30-meter indoor swimming pool, with eight lanes.  - There is a sauna in the fitness center.  …………  4. What are the front desk clerk’s responsibilities?  Key:  - Greeting and welcoming desks as they approach the front desk  - Answering questions and addressing complaints  - Keeping front desk tidy and presentable with all necessary material   5. When a guest has a problem and phones, what does a front desk usually reply?  Key:   This is the front desk. How can I help you?  6. Who works in the hotel maintenance department?  Key  Electricians, janitors, plumbers, maids….",194,1328,-0.04107741639018059
1403,Some people believe that studying at university or college is the best route to become successful career. While others believe that it is better to get a job staight after school. Discuss both views and give your opinion.,1403,"Charge Nurse  District Nurse Service  Grenville Community Health Care  88 Hightown Road Grenville  08 September 2022  Re: Ms Margaret Helen Martin, DOB: 25 July 1935  Dear Nurse,  I would like to introduce Ms Margaret Helen Martin, who was admitted in our cardiac unit due to coronary artery disease. She is set to be discharged tomorrow, and she will need regular monitoring and home visits.  Ms Martin has been diagnosed with coelic disease, coronary artery disease, hypertension and hypercholesterolemia. She was prescribed with the following medications: aspirin, clopidogrel, Betaloc, Tritace and atorvastatin. She is also overweight with BMI of 29.5. She has been living with sedentary lifestyle. She usually ordered groceries over phone and frozen meals for weekends. She has meal delivery every monday-friday for her lunch and dinner.  It would be greatly appreciated if you can visit Mr Martin on her home; to monitor her compliance to post-operative medications, to ensure her adherence to dietary regime and daily light excercise rehabilitation. In addition, kindly monitor her post-operation site for any bruises or infection. Aside from there, due to Ms. Martin has possibility of self-isolation due to afraid contact to her family. It would be appreciated if you can include her to social activities.  Should you have any questions, please do not hesitate to contact me.  Yours faithfully,  Nurse",221,1410,-0.12488531321287155
1579,"Some people believe that studying at university or college is the best route to a  successful career, while others believe that it is better to get a job straight after school.  Discuss both views and give your opinion.",1579,#NAME?,219,6,-0.1106300801038742
1775,"Some people think that it is a waste of money for countries to host big sporting events like the world cup, and that the money would be better spent on other things. However, others think that hosting large sporting events has a clear, positive impact on a country.


Discuss both these views and give your opinion.",1775,"Road access to the city hospital had changed a lot from 2000 to 3000.  More roads were established after 2000 due to the develpment of traffic system.  As well, the area of car park grew as well.

In 2000, there was a Ring Road around the city hospital.  Directly to the souther part of hospital was Hospital Road.  Along the hospital road there were several bus stop.  And in the east side of hospital road, there was a car park for staff and public, which had a gate in North.  The hospital road was vertically crossed by the city road.

In 2000, the three rodads were still there.  But there were two new roundabouts sitting at the crosses of ring road and hospital road, city road and hospital road respectively.  The bust stops along hospital road had been turned in to a bus station in the west side of hispital road.  The car park in the east side of hospital was set only for staff, while there expended a car park for public on the other side of ring road in east of city hospital.  The gate of public car park is in west.",315,1031,-0.03428129479289055
